,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
57,Completed-Closed,complete,Mats-Org line A2,2012-03-28 11:12:08+00:00,Completed-Closed,Mats,Org line A2,1-310231291,Variant 4,4,Fluxicon Disco
58,Accepted-In Progress,complete,Per-Org line C,2009-08-11 06:44:51+00:00,Accepted-In Progress,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
59,Queued-Awaiting Assignment,complete,Per-Org line C,2009-08-11 06:55:12+00:00,Queued-Awaiting Assignment,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
60,Accepted-Assigned,complete,Per-Org line C,2009-08-11 10:01:25+00:00,Accepted-Assigned,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
61,Queued-Awaiting Assignment,complete,Per-Org line C,2010-05-18 10:35:53+00:00,Queued-Awaiting Assignment,Per,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
62,Accepted-In Progress,complete,Tony-Org line C,2010-06-16 10:00:32+00:00,Accepted-In Progress,Tony,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
63,Accepted-Wait,complete,Tony-Org line C,2011-10-01 20:40:28+00:00,Accepted-Wait,Tony,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
64,Queued-Awaiting Assignment,complete,Tony-Org line C,2011-12-07 11:41:00+00:00,Queued-Awaiting Assignment,Tony,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
65,Accepted-In Progress,complete,Reza-Org line C,2012-02-15 11:01:20+00:00,Accepted-In Progress,Reza,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
66,Completed-Closed,complete,Reza-Org line C,2012-02-19 20:57:21+00:00,Completed-Closed,Reza,Org line C,1-316086072,Variant 81,81,Fluxicon Disco
67,Accepted-In Progress,complete,Richard-Org line C,2009-09-07 12:33:24+00:00,Accepted-In Progress,Richard,Org line C,1-320604521,Variant 42,42,Fluxicon Disco
68,Unmatched-Unmatched,complete,Richard-Org line C,2009-09-14 09:37:50+00:00,Unmatched-Unmatched,Richard,Org line C,1-320604521,Variant 42,42,Fluxicon Disco
69,Completed-Closed,complete,Richard-Org line C,2012-04-30 10:21:43+00:00,Completed-Closed,Richard,Org line C,1-320604521,Variant 42,42,Fluxicon Disco
70,Queued-Awaiting Assignment,complete,Adam-Org line A2,2009-09-16 20:42:12+00:00,Queued-Awaiting Assignment,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
71,Accepted-In Progress,complete,Adam-Org line A2,2009-09-28 09:26:19+00:00,Accepted-In Progress,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
72,Accepted-Wait,complete,Adam-Org line A2,2009-09-28 09:26:30+00:00,Accepted-Wait,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
73,Queued-Awaiting Assignment,complete,Adam-Org line A2,2010-04-08 10:09:22+00:00,Queued-Awaiting Assignment,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
74,Queued-Awaiting Assignment,complete,Adam-Org line A2,2010-04-08 10:11:51+00:00,Queued-Awaiting Assignment,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
75,Accepted-In Progress,complete,Adam-Org line A2,2010-04-12 08:05:58+00:00,Accepted-In Progress,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
76,Accepted-Wait,complete,Adam-Org line A2,2010-04-12 08:10:24+00:00,Accepted-Wait,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
77,Accepted-In Progress,complete,Adam-Org line A2,2011-10-18 14:09:14+00:00,Accepted-In Progress,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
78,Accepted-Wait,complete,Adam-Org line A2,2012-05-24 08:02:19+00:00,Accepted-Wait,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
79,Completed-Closed,complete,Adam-Org line A2,2012-05-24 09:03:31+00:00,Completed-Closed,Adam,Org line A2,1-322204195,Variant 82,82,Fluxicon Disco
80,Accepted-In Progress,complete,Stefan-Org line C,2009-09-18 10:50:02+00:00,Accepted-In Progress,Stefan,Org line C,1-322581861,Variant 42,42,Fluxicon Disco
81,Unmatched-Unmatched,complete,Stefan-Org line C,2009-11-17 13:07:38+00:00,Unmatched-Unmatched,Stefan,Org line C,1-322581861,Variant 42,42,Fluxicon Disco
82,Completed-Closed,complete,Stefan-Org line C,2012-03-13 10:53:35+00:00,Completed-Closed,Stefan,Org line C,1-322581861,Variant 42,42,Fluxicon Disco
83,Accepted-In Progress,complete,Kerstin-Org line V2,2009-09-21 12:13:43+00:00,Accepted-In Progress,Kerstin,Org line V2,1-322980802,Variant 1,1,Fluxicon Disco
84,Completed-Closed,complete,Kerstin-Org line V2,2012-02-07 12:22:11+00:00,Completed-Closed,Kerstin,Org line V2,1-322980802,Variant 1,1,Fluxicon Disco
85,Accepted-In Progress,complete,Reine-Org line C,2009-09-22 12:22:05+00:00,Accepted-In Progress,Reine,Org line C,1-323264491,Variant 10,10,Fluxicon Disco
86,Accepted-Assigned,complete,Reine-Org line C,2009-09-22 12:25:17+00:00,Accepted-Assigned,Reine,Org line C,1-323264491,Variant 10,10,Fluxicon Disco
87,Completed-Closed,complete,Reine-Org line C,2012-05-24 08:57:49+00:00,Completed-Closed,Reine,Org line C,1-323264491,Variant 10,10,Fluxicon Disco
88,Accepted-In Progress,complete,Rajashekar-Org line A2,2009-09-23 09:52:27+00:00,Accepted-In Progress,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
89,Accepted-Assigned,complete,Rajashekar-Org line A2,2010-01-04 08:00:17+00:00,Accepted-Assigned,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
90,Accepted-In Progress,complete,Rajashekar-Org line A2,2010-03-17 15:36:20+00:00,Accepted-In Progress,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
91,Accepted-Assigned,complete,Rajashekar-Org line A2,2010-11-09 11:35:55+00:00,Accepted-Assigned,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
92,Accepted-In Progress,complete,Rajashekar-Org line A2,2010-11-09 13:20:48+00:00,Accepted-In Progress,Rajashekar,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
93,Accepted-In Progress,complete,Kalpesh-Org line A2,2012-03-30 06:00:47+00:00,Accepted-In Progress,Kalpesh,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
94,Accepted-Assigned,complete,Tise-Org line A2,2012-03-30 06:05:44+00:00,Accepted-Assigned,Tise,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
95,Accepted-In Progress,complete,TulasiPrasad-Org line A2,2012-04-19 08:01:14+00:00,Accepted-In Progress,TulasiPrasad,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
96,Completed-Closed,complete,TulasiPrasad-Org line A2,2012-04-19 08:01:38+00:00,Completed-Closed,TulasiPrasad,Org line A2,1-323462732,Variant 83,83,Fluxicon Disco
97,Accepted-In Progress,complete,Carrie-Org line A2,2009-10-14 16:12:54+00:00,Accepted-In Progress,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
98,Accepted-Wait,complete,Carrie-Org line A2,2009-12-02 13:24:37+00:00,Accepted-Wait,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
99,Accepted-In Progress,complete,Carrie-Org line A2,2011-09-01 22:22:08+00:00,Accepted-In Progress,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
100,Accepted-In Progress,complete,Carrie-Org line A2,2012-02-01 08:46:54+00:00,Accepted-In Progress,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
101,Completed-Closed,complete,Carrie-Org line A2,2012-02-01 08:46:57+00:00,Completed-Closed,Carrie,Org line A2,1-327329880,Variant 23,23,Fluxicon Disco
102,Accepted-Wait,complete,Henrik-Org line A2,2009-10-26 13:47:10+00:00,Accepted-Wait,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
103,Unmatched-Unmatched,complete,Henrik-Org line A2,2009-10-27 08:57:26+00:00,Unmatched-Unmatched,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
104,Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 12:44:22+00:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
105,Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-02 12:46:10+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
106,Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-02 12:46:18+00:00,Accepted-Wait,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
107,Accepted-Assigned,complete,Damian-Org line A2,2011-04-11 07:10:20+00:00,Accepted-Assigned,Damian,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
108,Accepted-Assigned,complete,Katarzyna-Org line A2,2011-04-11 07:11:48+00:00,Accepted-Assigned,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
109,Accepted-Wait,complete,Katarzyna-Org line A2,2011-11-28 07:21:27+00:00,Accepted-Wait,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
110,Accepted-In Progress,complete,Katarzyna-Org line A2,2012-03-30 08:53:50+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
111,Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 08:53:53+00:00,Completed-Closed,Katarzyna,Org line A2,1-329451027,Variant 84,84,Fluxicon Disco
112,Accepted-In Progress,complete,Henrik-Org line A2,2009-10-27 08:42:40+00:00,Accepted-In Progress,Henrik,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
113,Accepted-Wait,complete,Henrik-Org line A2,2009-10-27 08:42:49+00:00,Accepted-Wait,Henrik,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
114,Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 12:43:43+00:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
115,Accepted-In Progress,complete,Ricardo-Org line A1,2010-03-02 12:44:26+00:00,Accepted-In Progress,Ricardo,Org line A1,1-329647261,Variant 85,85,Fluxicon Disco
116,Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-03 07:04:11+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
117,Accepted-Wait,complete,Katarzyna-Org line A2,2010-06-13 20:32:03+00:00,Accepted-Wait,Katarzyna,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
118,Accepted-Assigned,complete,Damian-Org line A2,2011-04-11 07:12:04+00:00,Accepted-Assigned,Damian,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
119,Accepted-Wait,complete,Damian-Org line A2,2011-11-23 10:55:39+00:00,Accepted-Wait,Damian,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
120,Completed-Closed,complete,Damian-Org line A2,2012-01-19 07:55:41+00:00,Completed-Closed,Damian,Org line A2,1-329647261,Variant 85,85,Fluxicon Disco
121,Accepted-In Progress,complete,Henrik-Org line A2,2009-10-30 12:49:04+00:00,Accepted-In Progress,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
122,Accepted-Assigned,complete,Henrik-Org line A2,2009-10-30 12:57:13+00:00,Accepted-Assigned,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
123,Queued-Awaiting Assignment,complete,Henrik-Org line A2,2010-03-02 12:43:50+00:00,Queued-Awaiting Assignment,Henrik,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
124,Accepted-In Progress,complete,Katarzyna-Org line A2,2010-03-02 12:45:25+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
125,Accepted-Wait,complete,Katarzyna-Org line A2,2010-03-02 12:45:37+00:00,Accepted-Wait,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
126,Completed-Closed,complete,Katarzyna-Org line A2,2012-03-30 08:54:30+00:00,Completed-Closed,Katarzyna,Org line A2,1-330634474,Variant 86,86,Fluxicon Disco
127,Accepted-In Progress,complete,Roger-Org line A2,2009-11-04 07:07:28+00:00,Accepted-In Progress,Roger,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
128,Accepted-In Progress,complete,Roger-Org line A2,2010-03-03 14:51:55+00:00,Accepted-In Progress,Roger,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
129,Accepted-Assigned,complete,Piotr-Org line A2,2010-03-03 14:52:18+00:00,Accepted-Assigned,Piotr,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
130,Accepted-Assigned,complete,Piotr-Org line A2,2010-05-24 15:04:58+00:00,Accepted-Assigned,Piotr,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
131,Accepted-Assigned,complete,Henrik-Org line A2,2010-08-09 10:39:59+00:00,Accepted-Assigned,Henrik,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
132,Accepted-In Progress,complete,Katarzyna-Org line A2,2012-04-02 08:18:59+00:00,Accepted-In Progress,Katarzyna,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
133,Completed-Closed,complete,Katarzyna-Org line A2,2012-04-02 08:19:30+00:00,Completed-Closed,Katarzyna,Org line A2,1-331478885,Variant 87,87,Fluxicon Disco
134,Queued-Awaiting Assignment,complete,Ingela-Org line V2,2009-11-09 15:38:14+00:00,Queued-Awaiting Assignment,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
135,Accepted-In Progress,complete,Ingela-Org line V2,2009-11-24 08:41:50+00:00,Accepted-In Progress,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
136,Accepted-Wait,complete,Ingela-Org line V2,2010-09-10 08:45:16+00:00,Accepted-Wait,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
137,Accepted-In Progress,complete,Ingela-Org line V2,2011-03-28 09:52:46+00:00,Accepted-In Progress,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
138,Accepted-Wait,complete,Ingela-Org line V2,2012-01-04 14:53:26+00:00,Accepted-Wait,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
139,Completed-Closed,complete,Ingela-Org line V2,2012-04-13 11:41:36+00:00,Completed-Closed,Ingela,Org line V2,1-332389008,Variant 88,88,Fluxicon Disco
140,Accepted-In Progress,complete,Liesbet-Org line A2,2009-11-12 12:41:27+00:00,Accepted-In Progress,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
141,Accepted-In Progress,complete,Liesbet-Org line A2,2010-09-17 08:33:52+00:00,Accepted-In Progress,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
142,Queued-Awaiting Assignment,complete,Timothy-Org line A2,2010-11-12 18:22:19+00:00,Queued-Awaiting Assignment,Timothy,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
143,Accepted-Assigned,complete,Ian-Org line A2,2010-11-23 14:10:22+00:00,Accepted-Assigned,Ian,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
144,Accepted-Assigned,complete,Alan-Org line A2,2011-01-07 13:55:04+00:00,Accepted-Assigned,Alan,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
145,Accepted-Wait,complete,Alan-Org line A2,2011-01-11 16:13:42+00:00,Accepted-Wait,Alan,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
146,Accepted-In Progress,complete,Lars-Org line V11,2011-05-19 13:45:16+00:00,Accepted-In Progress,Lars,Org line V11,1-333164156,Variant 89,89,Fluxicon Disco
147,Queued-Awaiting Assignment,complete,Ibrahim-Org line A2,2011-05-19 13:49:04+00:00,Queued-Awaiting Assignment,Ibrahim,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
148,Accepted-In Progress,complete,Ibrahim-Org line A2,2011-08-25 13:24:01+00:00,Accepted-In Progress,Ibrahim,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
149,Queued-Awaiting Assignment,complete,Ward-Org line A2,2011-08-25 13:24:43+00:00,Queued-Awaiting Assignment,Ward,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
150,Accepted-Assigned,complete,Liesbet-Org line A2,2011-08-25 13:25:33+00:00,Accepted-Assigned,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
151,Accepted-In Progress,complete,Liesbet-Org line A2,2011-10-26 15:07:30+00:00,Accepted-In Progress,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
152,Completed-Closed,complete,Liesbet-Org line A2,2012-03-30 09:45:20+00:00,Completed-Closed,Liesbet,Org line A2,1-333164156,Variant 89,89,Fluxicon Disco
153,Accepted-In Progress,complete,Joris-Org line A2,2009-11-24 08:44:43+00:00,Accepted-In Progress,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
154,Queued-Awaiting Assignment,complete,Joris-Org line A2,2009-11-30 09:45:01+00:00,Queued-Awaiting Assignment,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
155,Accepted-In Progress,complete,Joris-Org line A2,2010-03-14 12:40:26+00:00,Accepted-In Progress,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
156,Unmatched-Unmatched,complete,Joris-Org line A2,2010-03-14 12:40:36+00:00,Unmatched-Unmatched,Joris,Org line A2,1-335260940,Variant 90,90,Fluxicon Disco
