CaseID,Activity,Timestamp,Resource
10,1,2010-01-21 07:14:12+00:00,0
10,2,2010-01-21 08:08:05+00:00,0
10,3,2010-02-19 07:20:25+00:00,1
11,0,2010-01-19 15:01:04+00:00,0
11,1,2010-02-11 12:30:44+00:00,0
11,2,2010-02-11 12:30:56+00:00,0
11,3,2010-02-26 12:31:15+00:00,1
12,0,2010-01-21 06:49:07+00:00,0
12,1,2010-02-19 08:43:41+00:00,0
12,2,2010-02-19 08:43:47+00:00,0
12,3,2010-03-21 08:44:31+00:00,1
13,0,2010-01-21 06:52:31+00:00,0
13,1,2010-02-17 08:05:11+00:00,0
13,2,2010-02-17 08:05:17+00:00,0
13,3,2010-03-04 08:05:28+00:00,1
14,0,2010-01-21 06:53:28+00:00,0
14,0,2010-01-21 06:53:34+00:00,0
14,1,2010-01-21 06:53:40+00:00,0
14,2,2010-01-26 12:06:53+00:00,0
14,3,2010-03-06 07:00:57+00:00,1
15,0,2010-01-21 06:57:25+00:00,0
15,0,2010-01-21 06:57:35+00:00,0
15,1,2010-02-15 14:17:46+00:00,5
15,2,2010-02-15 14:17:57+00:00,5
15,3,2010-03-02 14:18:12+00:00,1
16,0,2010-01-22 06:17:33+00:00,0
16,1,2010-01-22 06:46:15+00:00,6
16,2,2010-01-25 11:23:52+00:00,6
16,3,2010-03-14 08:38:11+00:00,1
17,0,2010-01-22 09:09:40+00:00,0
17,1,2010-01-22 09:09:51+00:00,0
17,2,2010-01-22 09:09:59+00:00,0
17,3,2010-03-11 09:10:33+00:00,1
18,0,2010-01-22 12:49:01+00:00,0
18,1,2010-01-22 12:49:10+00:00,0
18,1,2010-02-22 11:53:42+00:00,0
18,2,2010-02-22 11:53:49+00:00,0
18,3,2010-03-09 11:54:07+00:00,1
19,0,2010-01-26 09:36:21+00:00,0
19,1,2010-01-26 09:36:30+00:00,0
19,2,2010-01-26 14:06:29+00:00,0
19,1,2010-01-27 12:28:58+00:00,0
19,2,2010-02-08 09:54:13+00:00,0
19,3,2010-03-11 09:40:48+00:00,1
20,0,2010-01-26 12:14:39+00:00,0
20,1,2010-02-09 14:14:20+00:00,0
20,2,2010-02-09 14:14:25+00:00,0
20,3,2010-03-11 14:14:54+00:00,1
21,0,2010-01-29 08:14:43+00:00,0
21,1,2010-01-29 08:14:56+00:00,0
21,2,2010-01-29 08:15:02+00:00,0
21,3,2010-03-03 08:20:47+00:00,1
22,0,2010-02-02 07:49:41+00:00,0
22,0,2010-02-15 13:57:27+00:00,0
22,1,2010-02-15 13:57:33+00:00,0
22,2,2010-02-15 13:57:38+00:00,0
22,3,2010-03-05 07:50:31+00:00,1
23,0,2010-02-02 07:52:38+00:00,0
23,1,2010-02-17 14:24:59+00:00,0
23,2,2010-02-19 06:23:45+00:00,0
23,3,2010-03-06 06:24:05+00:00,1
24,0,2010-02-02 07:57:11+00:00,0
24,1,2010-02-02 07:57:23+00:00,0
24,2,2010-02-02 07:57:29+00:00,0
24,3,2010-03-18 08:00:48+00:00,1
25,0,2010-02-02 08:17:37+00:00,0
25,1,2010-02-15 14:21:37+00:00,5
25,2,2010-02-15 14:22:30+00:00,5
25,3,2010-03-20 08:20:28+00:00,1
26,0,2010-02-02 08:18:33+00:00,0
26,0,2010-03-05 10:28:51+00:00,2
26,1,2010-03-05 10:28:58+00:00,2
26,2,2010-03-05 11:45:01+00:00,2
26,3,2010-03-20 11:45:16+00:00,1
27,0,2010-02-02 11:49:13+00:00,0
27,0,2010-02-02 12:04:15+00:00,0
27,1,2010-02-03 12:27:07+00:00,0
27,2,2010-02-03 12:27:16+00:00,0
27,3,2010-03-18 11:50:26+00:00,1
28,0,2010-02-04 06:20:45+00:00,0
28,0,2010-02-04 06:21:00+00:00,0
28,1,2010-02-16 08:20:28+00:00,0
28,4,2010-02-16 08:20:37+00:00,0
28,1,2010-02-17 06:45:28+00:00,0
28,2,2010-02-17 09:34:58+00:00,0
28,3,2010-04-03 07:35:20+00:00,1
29,0,2010-02-04 06:22:39+00:00,0
29,1,2010-02-04 06:22:54+00:00,0
29,4,2010-02-04 07:07:26+00:00,0
29,1,2010-02-26 06:53:59+00:00,0
29,2,2010-02-26 06:54:05+00:00,0
29,2,2010-02-26 07:31:08+00:00,0
29,3,2010-03-13 07:31:19+00:00,1
30,0,2010-02-04 07:40:52+00:00,0
30,0,2010-02-04 07:41:05+00:00,0
30,1,2010-02-04 07:41:23+00:00,0
30,5,2010-02-04 07:41:33+00:00,0
30,2,2010-02-22 12:05:31+00:00,0
30,3,2010-03-09 12:05:44+00:00,1
31,0,2010-02-04 08:36:44+00:00,0
31,1,2010-02-04 08:49:49+00:00,0
31,5,2010-02-04 08:49:57+00:00,0
31,2,2010-03-16 13:09:50+00:00,0
31,3,2010-03-31 11:10:02+00:00,1
32,0,2010-02-04 08:37:45+00:00,0
32,1,2010-02-04 09:01:28+00:00,0
32,5,2010-02-04 09:01:35+00:00,0
32,2,2010-03-16 13:08:40+00:00,0
32,3,2010-03-31 11:08:53+00:00,1
33,0,2010-02-05 09:15:48+00:00,0
33,1,2010-02-12 09:14:18+00:00,0
33,2,2010-02-24 15:09:08+00:00,0
33,3,2010-03-11 15:09:42+00:00,1
34,0,2010-02-08 09:02:38+00:00,0
34,1,2010-02-19 15:03:44+00:00,0
34,2,2010-02-19 15:03:53+00:00,0
34,3,2010-03-26 09:12:43+00:00,1
35,0,2010-02-08 13:06:58+00:00,2
35,1,2010-02-08 13:12:00+00:00,2
35,4,2010-02-08 13:12:28+00:00,2
35,1,2010-02-25 14:56:34+00:00,7
35,2,2010-02-26 07:09:32+00:00,7
35,3,2010-03-28 05:10:03+00:00,1
36,0,2010-02-09 06:31:47+00:00,2
36,1,2010-02-09 06:35:12+00:00,2
36,4,2010-02-09 06:35:26+00:00,2
36,4,2010-02-09 06:36:27+00:00,0
36,1,2010-02-19 06:31:40+00:00,6
36,2,2010-02-19 06:32:00+00:00,6
36,3,2010-04-09 04:40:43+00:00,1
37,0,2010-02-09 06:47:01+00:00,0
37,1,2010-03-09 13:17:24+00:00,0
37,2,2010-03-09 13:17:28+00:00,0
37,3,2010-03-24 13:17:46+00:00,1
38,0,2010-02-09 12:31:28+00:00,0
38,1,2010-02-09 12:31:46+00:00,0
38,5,2010-02-09 12:32:02+00:00,0
38,2,2010-03-22 14:18:31+00:00,0
38,1,2010-03-22 14:18:50+00:00,0
38,5,2010-03-22 14:18:56+00:00,0
38,2,2010-03-22 14:22:09+00:00,0
38,3,2010-04-06 12:22:17+00:00,1
39,0,2010-02-09 14:07:04+00:00,0
39,1,2010-02-09 14:07:11+00:00,0
39,2,2010-02-09 14:07:18+00:00,0
39,3,2010-03-29 12:11:23+00:00,1
40,0,2010-02-09 14:10:28+00:00,0
40,1,2010-03-19 06:41:33+00:00,0
40,2,2010-03-19 06:41:38+00:00,0
40,2,2010-03-19 06:51:04+00:00,0
40,3,2010-04-03 04:51:11+00:00,1
41,0,2010-02-09 14:17:06+00:00,0
41,1,2010-02-23 14:40:34+00:00,0
41,2,2010-03-16 07:05:38+00:00,0
41,3,2010-03-31 05:05:52+00:00,1
42,0,2010-02-10 06:42:57+00:00,0
42,1,2010-02-16 09:50:53+00:00,0
42,4,2010-02-16 09:50:57+00:00,0
42,1,2010-03-16 06:51:00+00:00,0
42,2,2010-03-16 06:51:06+00:00,0
42,3,2010-03-31 04:51:20+00:00,1
42,3,2010-03-31 04:51:20+00:00,1
43,0,2010-02-10 06:50:20+00:00,0
43,1,2010-03-19 06:47:06+00:00,0
43,2,2010-03-19 06:47:13+00:00,0
43,3,2010-04-03 04:47:38+00:00,1
44,0,2010-02-10 06:52:42+00:00,0
44,1,2010-02-22 07:06:59+00:00,0
44,4,2010-02-22 07:43:38+00:00,0
44,1,2010-03-10 06:17:55+00:00,0
44,2,2010-03-10 06:18:00+00:00,0
44,3,2010-04-09 04:18:19+00:00,1
45,0,2010-02-10 06:58:35+00:00,0
45,1,2010-02-23 12:58:59+00:00,0
45,2,2010-02-23 13:15:40+00:00,0
45,3,2010-03-13 07:00:39+00:00,1
46,0,2010-02-10 07:15:34+00:00,0
46,1,2010-02-15 14:20:05+00:00,5
46,2,2010-02-26 12:19:07+00:00,5
46,3,2010-03-28 10:19:31+00:00,1
47,0,2010-02-10 07:16:26+00:00,0
47,1,2010-02-15 14:19:28+00:00,5
47,2,2010-03-17 08:05:36+00:00,5
47,3,2010-04-01 06:05:51+00:00,1
48,0,2010-02-10 08:25:33+00:00,0
48,1,2010-02-10 08:33:38+00:00,0
48,2,2010-02-10 08:33:49+00:00,0
48,3,2010-03-13 08:30:26+00:00,1
49,0,2010-02-10 10:15:48+00:00,2
49,0,2010-02-24 09:20:45+00:00,2
49,1,2010-02-24 09:25:31+00:00,2
49,2,2010-03-15 15:26:37+00:00,0
49,3,2010-03-30 13:26:59+00:00,1
50,0,2010-02-11 06:48:50+00:00,0
50,1,2010-02-23 14:56:28+00:00,0
50,2,2010-02-23 14:56:36+00:00,0
50,3,2010-03-27 06:50:35+00:00,1
51,0,2010-02-15 14:21:35+00:00,0
51,1,2010-02-18 11:52:20+00:00,0
51,2,2010-02-18 11:52:30+00:00,0
51,3,2010-03-18 14:30:16+00:00,1
52,0,2010-02-16 08:57:56+00:00,0
52,1,2010-02-16 08:58:09+00:00,0
52,2,2010-02-16 08:58:17+00:00,0
52,3,2010-03-19 09:00:16+00:00,1
53,0,2010-02-16 09:00:09+00:00,0
53,1,2010-02-16 09:00:17+00:00,0
53,2,2010-02-16 09:00:27+00:00,0
53,3,2010-03-19 09:11:08+00:00,1
54,0,2010-02-17 13:36:36+00:00,0
54,1,2010-02-18 12:17:36+00:00,0
54,2,2010-02-18 12:17:42+00:00,0
54,3,2010-03-20 13:40:17+00:00,1
55,0,2010-02-17 14:53:21+00:00,0
55,1,2010-02-23 13:53:52+00:00,0
55,2,2010-02-23 13:53:57+00:00,0
55,3,2010-04-04 13:00:41+00:00,1
56,0,2010-02-19 06:41:28+00:00,0
56,1,2010-02-23 14:20:47+00:00,0
56,2,2010-03-08 08:24:35+00:00,3
56,3,2010-03-24 06:50:25+00:00,1
57,0,2010-02-19 07:26:26+00:00,0
57,1,2010-03-09 09:36:35+00:00,0
57,2,2010-03-09 09:36:42+00:00,0
57,3,2010-03-24 09:36:54+00:00,1
58,0,2010-02-19 07:28:22+00:00,0
58,1,2010-02-19 07:28:30+00:00,0
58,2,2010-02-19 07:28:36+00:00,0
58,3,2010-03-24 07:30:37+00:00,1
59,0,2010-02-19 07:30:34+00:00,0
59,0,2010-02-19 07:30:47+00:00,0
59,4,2010-02-19 07:38:49+00:00,0
59,1,2010-02-24 12:44:53+00:00,0
59,2,2010-02-24 12:45:23+00:00,0
59,3,2010-03-28 05:40:44+00:00,1
60,0,2010-02-19 08:03:38+00:00,0
60,1,2010-02-19 08:16:18+00:00,0
60,2,2010-02-19 08:16:24+00:00,0
60,3,2010-03-24 08:10:44+00:00,1
61,0,2010-02-19 08:40:25+00:00,0
61,0,2010-02-19 08:40:36+00:00,0
61,1,2010-02-23 11:33:27+00:00,0
61,2,2010-02-23 11:33:32+00:00,0
61,3,2010-04-08 06:52:24+00:00,1
62,0,2010-02-19 08:58:32+00:00,1
62,1,2010-03-11 12:30:33+00:00,0
62,2,2010-03-12 07:14:41+00:00,0
62,3,2010-03-27 07:14:59+00:00,1
63,0,2010-02-19 09:03:47+00:00,0
63,1,2010-02-22 11:54:11+00:00,0
63,2,2010-02-22 11:54:17+00:00,0
63,3,2010-03-31 07:13:06+00:00,1
64,0,2010-02-19 09:15:15+00:00,0
64,0,2010-03-05 08:10:46+00:00,2
64,1,2010-03-05 09:05:36+00:00,2
64,2,2010-03-05 15:05:32+00:00,2
64,3,2010-03-23 10:29:15+00:00,1
65,6,2010-02-19 11:43:46+00:00,1
65,0,2010-02-26 08:35:39+00:00,0
65,0,2010-03-05 10:29:12+00:00,2
65,1,2010-03-05 10:29:30+00:00,2
65,4,2010-03-05 11:28:44+00:00,2
65,1,2010-03-08 11:28:09+00:00,2
65,2,2010-03-08 11:28:16+00:00,2
65,3,2010-03-23 11:28:34+00:00,1
66,0,2010-02-19 14:10:34+00:00,0
66,0,2010-02-19 14:11:03+00:00,0
66,1,2010-02-19 14:11:11+00:00,0
66,2,2010-02-22 06:49:09+00:00,0
66,3,2010-03-24 14:20:18+00:00,1
67,0,2010-02-22 12:02:29+00:00,0
67,1,2010-02-22 12:02:39+00:00,0
67,2,2010-03-09 14:17:19+00:00,0
67,3,2010-03-25 12:10:31+00:00,1
68,0,2010-02-22 13:00:57+00:00,0
68,1,2010-02-22 13:01:16+00:00,0
68,4,2010-02-23 13:52:23+00:00,0
68,1,2010-02-24 07:50:30+00:00,0
68,2,2010-02-24 08:29:49+00:00,0
68,3,2010-03-25 13:10:39+00:00,1
69,0,2010-02-23 08:23:50+00:00,0
69,1,2010-02-23 08:24:02+00:00,0
69,5,2010-02-23 13:40:54+00:00,0
69,2,2010-02-23 13:41:00+00:00,0
69,3,2010-04-08 06:30:20+00:00,1
70,0,2010-02-23 08:41:22+00:00,0
70,1,2010-03-16 12:25:16+00:00,0
70,2,2010-03-17 09:10:57+00:00,0
70,3,2010-04-01 07:11:19+00:00,1
71,0,2010-02-23 11:17:01+00:00,0
71,1,2010-02-23 11:17:09+00:00,0
71,2,2010-02-23 11:18:28+00:00,0
71,3,2010-04-08 09:21:57+00:00,1
72,0,2010-02-24 14:03:18+00:00,0
72,1,2010-02-24 14:03:46+00:00,0
72,2,2010-02-24 14:03:51+00:00,0
72,3,2010-04-09 12:11:23+00:00,1
73,0,2010-02-25 07:43:58+00:00,2
73,1,2010-03-04 14:29:36+00:00,2
73,2,2010-03-04 15:14:36+00:00,2
73,1,2010-03-05 10:14:51+00:00,2
73,4,2010-03-05 10:14:59+00:00,2
73,1,2010-03-24 11:39:00+00:00,2
73,2,2010-03-26 15:42:37+00:00,2
73,3,2010-04-10 13:42:55+00:00,1
74,0,2010-02-25 13:07:33+00:00,0
74,1,2010-02-26 13:25:37+00:00,0
74,2,2010-03-12 07:50:25+00:00,0
74,3,2010-04-14 11:10:36+00:00,1
75,0,2010-02-26 08:16:38+00:00,0
75,0,2010-02-26 08:19:46+00:00,0
75,1,2010-03-11 12:29:07+00:00,0
75,4,2010-03-11 12:29:11+00:00,0
75,1,2010-04-09 10:46:37+00:00,0
75,2,2010-04-09 10:46:44+00:00,0
75,3,2010-04-24 10:46:56+00:00,1
76,0,2010-02-26 08:32:49+00:00,0
76,1,2010-03-11 15:07:32+00:00,0
76,2,2010-03-12 06:23:33+00:00,0
76,2,2010-03-12 06:23:59+00:00,0
76,3,2010-03-31 06:40:20+00:00,1
77,0,2010-03-03 09:38:08+00:00,3
77,1,2010-03-03 09:41:15+00:00,3
77,2,2010-03-03 09:49:35+00:00,3
77,3,2010-05-02 07:50:25+00:00,1
78,6,2010-03-04 14:49:18+00:00,3
78,0,2010-03-08 11:59:35+00:00,3
78,1,2010-03-08 12:00:06+00:00,3
78,2,2010-03-08 12:00:16+00:00,3
78,3,2010-04-06 12:50:21+00:00,1
79,1,2010-03-05 08:08:27+00:00,7
79,2,2010-03-05 08:14:58+00:00,7
79,2,2010-03-08 10:10:08+00:00,2
79,2,2010-03-08 10:10:23+00:00,2
79,3,2010-04-07 06:10:54+00:00,1
80,0,2010-03-08 08:18:30+00:00,0
80,1,2010-03-08 09:31:55+00:00,0
80,2,2010-03-08 09:32:00+00:00,0
80,3,2010-04-21 06:20:32+00:00,1
81,6,2010-03-08 09:43:25+00:00,6
81,0,2010-03-08 09:44:57+00:00,6
81,0,2010-03-08 09:45:49+00:00,6
81,1,2010-03-08 09:52:48+00:00,6
81,2,2010-03-08 15:00:50+00:00,6
81,3,2010-04-21 07:50:28+00:00,1
82,6,2010-03-08 09:52:47+00:00,3
82,0,2010-03-08 09:56:49+00:00,0
82,1,2010-03-15 08:17:38+00:00,3
82,2,2010-03-15 08:21:22+00:00,3
82,3,2010-04-21 08:00:30+00:00,1
83,0,2010-03-09 06:06:03+00:00,0
83,1,2010-03-09 06:06:12+00:00,0
83,2,2010-03-09 15:18:06+00:00,0
83,3,2010-04-09 04:10:41+00:00,1
84,0,2010-03-09 06:18:19+00:00,0
84,0,2010-03-09 06:18:29+00:00,0
84,1,2010-03-12 13:03:44+00:00,0
84,2,2010-04-13 09:21:08+00:00,4
84,3,2010-04-13 09:21:18+00:00,4
85,0,2010-03-09 07:08:53+00:00,6
85,1,2010-03-09 07:09:07+00:00,6
85,2,2010-03-09 07:42:22+00:00,6
85,3,2010-04-09 05:10:33+00:00,1
86,0,2010-03-09 08:01:13+00:00,0
86,0,2010-04-16 12:56:14+00:00,0
86,1,2010-04-16 12:56:18+00:00,0
86,2,2010-04-16 12:56:30+00:00,0
86,2,2010-04-16 12:56:30+00:00,0
86,3,2010-05-01 12:56:46+00:00,1
87,0,2010-03-09 08:09:33+00:00,0
87,1,2010-03-09 08:09:44+00:00,0
87,2,2010-03-18 07:27:56+00:00,0
87,3,2010-05-02 05:28:46+00:00,1
88,0,2010-03-09 09:06:39+00:00,0
88,0,2010-03-09 09:06:58+00:00,0
88,1,2010-03-09 09:07:27+00:00,0
88,2,2010-03-09 09:10:28+00:00,0
88,3,2010-04-09 07:10:44+00:00,1
89,0,2010-03-09 13:22:22+00:00,0
89,1,2010-03-09 13:57:34+00:00,0
89,2,2010-03-16 09:39:45+00:00,0
89,3,2010-04-15 11:30:35+00:00,1
90,6,2010-03-10 06:29:54+00:00,6
90,0,2010-03-10 06:31:20+00:00,6
90,1,2010-03-10 06:31:29+00:00,6
90,2,2010-03-23 13:36:12+00:00,6
90,3,2010-04-23 04:30:26+00:00,1
91,0,2010-03-10 06:50:17+00:00,0
91,1,2010-04-19 05:22:43+00:00,3
91,2,2010-04-19 05:23:40+00:00,3
91,3,2010-05-04 05:23:57+00:00,1
92,0,2010-03-10 06:51:50+00:00,0
92,1,2010-03-15 09:10:26+00:00,3
92,2,2010-04-20 05:31:38+00:00,3
92,3,2010-05-05 05:31:53+00:00,1
93,0,2010-03-10 13:38:28+00:00,0
93,1,2010-03-16 06:53:29+00:00,3
93,4,2010-03-23 06:30:30+00:00,3
93,1,2010-04-20 05:27:41+00:00,3
93,2,2010-04-20 05:27:51+00:00,3
93,3,2010-05-05 05:28:02+00:00,1
94,0,2010-03-10 13:53:18+00:00,3
94,1,2010-03-22 14:14:53+00:00,0
94,2,2010-03-23 09:13:36+00:00,3
94,3,2010-04-23 12:00:25+00:00,1
95,0,2010-03-11 06:06:12+00:00,0
95,0,2010-03-11 06:06:24+00:00,0
95,1,2010-03-11 06:06:33+00:00,0
95,2,2010-03-12 12:33:52+00:00,0
95,3,2010-04-13 04:10:28+00:00,1
96,0,2010-03-11 09:21:24+00:00,0
96,1,2010-03-11 09:21:40+00:00,0
96,2,2010-03-11 09:21:45+00:00,0
96,3,2010-04-13 07:30:20+00:00,1
97,0,2010-03-11 12:28:06+00:00,3
97,1,2010-03-15 08:14:59+00:00,3
97,4,2010-03-15 08:15:11+00:00,3
97,1,2010-03-23 06:27:31+00:00,3
97,2,2010-03-23 06:27:39+00:00,3
97,1,2010-03-23 12:37:15+00:00,3
97,4,2010-03-23 12:37:26+00:00,3
97,1,2010-03-24 09:28:29+00:00,0
97,5,2010-03-24 09:28:37+00:00,0
97,2,2010-04-07 05:18:56+00:00,3
97,1,2010-04-13 05:14:05+00:00,3
97,2,2010-04-13 05:16:05+00:00,3
97,3,2010-04-28 05:16:18+00:00,1
98,0,2010-03-11 12:37:20+00:00,3
98,1,2010-03-11 13:48:46+00:00,3
98,2,2010-03-15 07:05:02+00:00,3
98,3,2010-04-13 10:40:20+00:00,1
99,0,2010-03-11 13:15:54+00:00,0
99,0,2010-04-23 04:44:51+00:00,0
99,1,2010-04-23 04:44:59+00:00,0
99,2,2010-04-23 04:45:04+00:00,0
99,3,2010-05-08 04:45:21+00:00,1
100,0,2010-03-12 06:05:41+00:00,0
100,0,2010-04-23 04:26:34+00:00,0
100,1,2010-04-23 04:26:43+00:00,0
100,2,2010-04-23 04:26:48+00:00,0
100,3,2010-05-08 04:27:30+00:00,1
100,3,2010-05-08 04:27:30+00:00,1
101,0,2010-03-12 06:25:59+00:00,0
101,1,2010-03-12 06:26:07+00:00,0
101,2,2010-03-16 07:08:06+00:00,0
101,3,2010-04-29 04:30:27+00:00,1
102,0,2010-03-12 07:28:49+00:00,0
102,1,2010-03-12 07:29:00+00:00,0
102,2,2010-03-12 07:37:27+00:00,0
102,3,2010-04-14 05:30:56+00:00,1
103,0,2010-03-12 09:17:34+00:00,8
103,1,2010-03-12 09:18:44+00:00,8
103,2,2010-03-12 11:23:50+00:00,8
103,3,2010-04-14 07:20:27+00:00,1
104,0,2010-03-15 06:06:20+00:00,0
104,1,2010-03-15 06:06:36+00:00,0
104,2,2010-04-16 12:02:04+00:00,0
104,3,2010-05-01 12:02:27+00:00,1
105,6,2010-03-15 08:35:48+00:00,6
105,0,2010-03-15 08:35:57+00:00,6
105,1,2010-03-15 08:36:06+00:00,6
105,2,2010-03-15 09:12:05+00:00,6
105,3,2010-04-21 06:40:40+00:00,1
106,0,2010-03-15 13:42:39+00:00,3
106,0,2010-03-15 13:50:35+00:00,0
106,1,2010-03-16 08:53:17+00:00,3
106,2,2010-03-16 08:53:29+00:00,3
106,2,2010-03-24 06:23:18+00:00,4
106,3,2010-04-28 11:50:24+00:00,1
107,0,2010-03-16 05:57:21+00:00,0
107,0,2010-03-16 11:40:45+00:00,0
107,1,2010-03-19 09:09:53+00:00,0
107,2,2010-03-19 09:09:58+00:00,0
107,2,2010-03-19 09:10:11+00:00,0
107,3,2010-04-30 13:00:29+00:00,1
108,0,2010-03-16 05:59:03+00:00,0
108,1,2010-03-17 07:02:03+00:00,7
108,2,2010-03-17 07:49:51+00:00,7
108,3,2010-04-21 13:00:28+00:00,1
109,0,2010-03-16 06:04:03+00:00,0
109,1,2010-03-16 06:04:15+00:00,0
109,2,2010-04-01 05:48:34+00:00,0
109,3,2010-04-16 05:48:47+00:00,1
110,0,2010-03-16 06:09:09+00:00,0
110,1,2010-03-16 12:26:25+00:00,7
110,2,2010-03-16 12:28:38+00:00,7
110,3,2010-04-29 04:10:44+00:00,1
111,0,2010-03-17 06:11:26+00:00,0
111,1,2010-03-19 13:10:09+00:00,0
111,2,2010-03-22 12:30:07+00:00,3
111,3,2010-04-17 04:20:27+00:00,1
112,0,2010-03-17 06:21:44+00:00,0
112,1,2010-03-17 06:21:53+00:00,0
112,2,2010-04-23 04:36:36+00:00,0
112,3,2010-05-08 04:36:49+00:00,1
113,6,2010-03-17 07:03:18+00:00,6
113,0,2010-03-17 07:04:13+00:00,6
113,1,2010-03-17 07:04:20+00:00,6
113,2,2010-03-17 07:09:08+00:00,6
113,3,2010-04-30 05:10:20+00:00,1
114,0,2010-03-17 11:26:12+00:00,0
114,1,2010-03-24 09:08:19+00:00,0
114,2,2010-03-26 08:21:17+00:00,0
114,3,2010-04-25 06:21:42+00:00,1
115,0,2010-03-17 11:29:20+00:00,0
115,1,2010-03-17 11:29:28+00:00,0
115,4,2010-03-18 09:18:34+00:00,0
115,1,2010-03-23 13:10:04+00:00,0
115,2,2010-03-23 13:10:09+00:00,0
115,3,2010-04-17 09:30:14+00:00,1
116,0,2010-03-18 09:38:10+00:00,0
116,1,2010-03-18 09:53:56+00:00,7
116,2,2010-03-18 11:37:24+00:00,7
116,3,2010-04-24 07:40:36+00:00,1
117,0,2010-03-18 09:41:30+00:00,0
117,0,2010-03-18 09:41:42+00:00,0
117,1,2010-03-18 09:42:31+00:00,0
117,2,2010-03-18 09:42:36+00:00,0
117,3,2010-05-01 07:50:28+00:00,1
118,0,2010-03-19 09:43:08+00:00,0
118,1,2010-03-19 09:43:18+00:00,0
118,2,2010-03-19 09:50:25+00:00,0
118,3,2010-05-17 07:50:43+00:00,1
119,0,2010-03-19 09:56:16+00:00,0
119,1,2010-03-22 12:33:21+00:00,3
119,2,2010-03-22 12:33:58+00:00,3
119,3,2010-04-21 08:00:20+00:00,1
120,0,2010-03-19 10:00:02+00:00,0
120,1,2010-03-22 14:16:37+00:00,0
120,2,2010-03-30 10:46:08+00:00,0
120,3,2010-04-21 08:00:40+00:00,1
121,0,2010-03-19 12:44:32+00:00,0
121,1,2010-04-09 10:43:57+00:00,0
121,2,2010-04-09 10:44:01+00:00,0
121,3,2010-04-24 10:44:21+00:00,1
122,0,2010-03-19 12:50:02+00:00,0
122,1,2010-03-25 09:05:13+00:00,0
122,4,2010-03-26 12:22:38+00:00,0
122,1,2010-04-29 05:37:40+00:00,0
122,2,2010-04-29 05:37:51+00:00,0
122,3,2010-05-14 05:38:13+00:00,1
123,0,2010-03-19 13:07:01+00:00,0
123,1,2010-04-02 07:14:27+00:00,0
123,2,2010-04-26 12:52:28+00:00,0
123,3,2010-05-10 06:37:08+00:00,4
124,0,2010-03-19 13:24:30+00:00,0
124,1,2010-03-22 12:43:02+00:00,0
124,4,2010-03-22 12:43:09+00:00,0
124,1,2010-03-22 12:45:17+00:00,0
124,4,2010-03-22 12:45:24+00:00,0
124,1,2010-04-16 12:55:48+00:00,0
124,2,2010-04-16 12:55:53+00:00,0
124,3,2010-05-01 12:56:07+00:00,1
125,0,2010-03-19 13:46:29+00:00,0
125,0,2010-03-19 13:46:50+00:00,0
125,1,2010-03-19 13:47:09+00:00,0
125,2,2010-04-20 05:27:07+00:00,3
